generate model final episode:99, average travel time:334.2142361111111
----------------------------------------------------


-------------------------------------
-------------------------------------
mask_pos = [0]
Final Travel Time is 334.5819
inference network training data preparation finished
----------------------------------------------------
infer = sfm, control = maxpressure
thread:8, action interval:20
runtime:0, average travel time:339.484375
-----------------------------------------------------
infer = sfm, control = CopyDQN
thread:8, action interval:20
runtime:0, average travel time:342.6972222222222
-----------------------------------------------------
infer = sfm, control = IDQN
episode:0, Train:698.2423611111111
episode:0, Test:1810.0
episode:1, Train:694.7569444444445
episode:1, Test:1810.0
episode:2, Train:703.5614583333333
episode:2, Test:1810.0
episode:3, Train:659.6923611111112
episode:3, Test:1810.0
episode:4, Train:694.9871527777777
episode:4, Test:1810.0
episode:5, Train:866.3965277777778
episode:5, Test:1739.9402777777777
episode:6, Train:745.9434027777778
episode:6, Test:482.9145833333333
episode:7, Train:398.1920138888889
episode:7, Test:496.715625
episode:8, Train:412.65625
episode:8, Test:633.0645833333333
episode:9, Train:415.0565972222222
episode:9, Test:638.2197916666667
episode:10, Train:426.2159722222222
episode:10, Test:577.6184027777778
episode:11, Train:377.21944444444443
episode:11, Test:548.8545138888888
episode:12, Train:425.57430555555555
episode:12, Test:510.6621527777778
episode:13, Train:379.73784722222223
episode:13, Test:640.5194444444444
episode:14, Train:383.65763888888887
episode:14, Test:533.0732638888888
episode:15, Train:366.44097222222223
episode:15, Test:532.4347222222223
episode:16, Train:364.11840277777776
episode:16, Test:527.7451388888888
episode:17, Train:386.8097222222222
episode:17, Test:527.4006944444444
episode:18, Train:374.35729166666664
episode:18, Test:532.9375
episode:19, Train:348.56631944444445
episode:19, Test:337.6225694444444
episode:20, Train:364.65555555555557
episode:20, Test:526.2743055555555
episode:21, Train:360.015625
episode:21, Test:533.5420138888888
episode:22, Train:354.48819444444445
episode:22, Test:390.12569444444443
episode:23, Train:394.86076388888887
episode:23, Test:375.72222222222223
episode:24, Train:367.15486111111113
episode:24, Test:536.871875
episode:25, Train:362.30625
episode:25, Test:404.9142361111111
episode:26, Train:362.15277777777777
episode:26, Test:436.0722222222222
episode:27, Train:375.2496527777778
episode:27, Test:343.790625
episode:28, Train:347.1361111111111
episode:28, Test:340.8388888888889
episode:29, Train:351.09583333333336
episode:29, Test:562.4944444444444
episode:30, Train:353.5184027777778
episode:30, Test:407.95416666666665
episode:31, Train:346.7871527777778
episode:31, Test:344.8829861111111
episode:32, Train:346.7625
episode:32, Test:332.44618055555554
episode:33, Train:345.57465277777777
episode:33, Test:337.87708333333336
episode:34, Train:342.1822916666667
episode:34, Test:340.00555555555553
episode:35, Train:340.14131944444443
episode:35, Test:340.04340277777777
episode:36, Train:343.43125
episode:36, Test:342.65729166666665
episode:37, Train:336.24652777777777
episode:37, Test:342.7684027777778
episode:38, Train:337.2611111111111
episode:38, Test:335.434375
episode:39, Train:337.67256944444443
episode:39, Test:334.03263888888887
episode:40, Train:335.1277777777778
episode:40, Test:331.26145833333334
episode:41, Train:334.9378472222222
episode:41, Test:331.45243055555557
episode:42, Train:337.3305555555556
episode:42, Test:341.76701388888887
episode:43, Train:334.81944444444446
episode:43, Test:332.53784722222224
episode:44, Train:337.3569444444444
